rownames,site_id,site_name,location_type,latitude,longitude,parameter,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
1,ABD,Aberdeen,Urban Background,57.15736,-2.094278,O3,Ozone,2003-08-01,2021-09-20,2021-09-20,North East Scotland,,Aberdeen City
16,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,O3,Ozone,2021-10-01,ongoing,2023-12-31,North East Scotland,,Aberdeen City
25,ABD7,Aberdeen Union Street Roadside,Urban Traffic,57.144555,-2.106472,NO,Nitric oxide,2008-01-01,ongoing,2023-12-31,North East Scotland,,Aberdeen City
31,ABD8,Aberdeen Wellington Road,Urban Traffic,57.133888,-2.094198,NO,Nitric oxide,2016-02-09,ongoing,2023-12-31,North East Scotland,,Aberdeen City
37,ARM6,Armagh Roadside,Urban Traffic,54.353728,-6.654558,NO,Nitric oxide,2009-01-01,ongoing,2023-12-31,Northern Ireland,,"Armagh, Banbridge and Craigavon"
46,AH,Aston Hill,Rural Background,52.50385,-3.034178,O3,Ozone,1986-06-26,ongoing,2023-12-31,North Wales,,Powys
53,ACTH,Auchencorth Moss,Rural Background,55.79216,-3.2429,O3,Ozone,2006-11-01,ongoing,2023-12-31,Central Scotland,,Midlothian
94,BAAR,Ballymena Antrim Road,Urban Traffic,54.851491,-6.274961,NO,Nitric oxide,2017-04-01,ongoing,2023-12-31,Northern Ireland,,Mid and East Antrim
100,BALM,Ballymena Ballykeel,Urban Background,54.861595,-6.250873,NO,Nitric oxide,2016-05-01,ongoing,2023-12-31,Northern Ireland,,Mid and East Antrim
107,BARN,Barnsley,Urban Background,53.580045,-1.475865,SO2,Sulphur dioxide,1991-03-14,1994-03-21,1994-03-21,Yorkshire & Humberside,,Barnsley
108,BAR2,Barnsley 12,Urban Background,53.55593,-1.485153,SO2,Sulphur dioxide,1994-03-21,2012-07-17,2012-07-17,Yorkshire & Humberside,,Barnsley
112,BAR3,Barnsley Gawber,Urban Background,53.56292,-1.510436,O3,Ozone,1997-07-07,ongoing,2023-12-31,Yorkshire & Humberside,,Barnsley
123,BPLE,Barnstaple A39,Urban Traffic,51.074793,-4.041924,PM10,PM10 particulate matter (Hourly measured),2013-11-14,ongoing,2023-12-31,South West,,North Devon
132,BHA4,Bath A4 Roadside,Urban Traffic,51.390922,-2.35503,NO,Nitric oxide,2019-10-24,ongoing,2023-12-31,South West,,Bath and North East Somerset
138,BATH,Bath Roadside,Urban Traffic,51.391127,-2.354155,NO,Nitric oxide,1996-11-18,2019-06-11,2019-06-11,South West,,Bath and North East Somerset
145,BEL2,Belfast Centre,Urban Background,54.59965,-5.928833,O3,Ozone,1992-03-08,ongoing,2023-12-31,Northern Ireland,Belfast Metropolitan Urban Area,Belfast
160,BEL4,Belfast Clara St,Suburban Background,54.591256,-5.89546,PM10,PM10 particulate matter (Hourly measured),1998-06-01,2007-09-30,2007-09-30,Northern Ireland,Belfast Metropolitan Urban Area,Belfast
161,BEL,Belfast East,Urban Background,54.59653,-5.901667,SO2,Sulphur dioxide,1989-09-06,2007-09-30,2007-09-30,Northern Ireland,Belfast Metropolitan Urban Area,Belfast
